Year,Indonesia
1950,69543
1951,70849
1952,72275
1953,73821
1954,75488
1955,77273
1956,79173
1957,81179
1958,83284
1959,85478
1960,87751
1961,90098
1962,92518
1963,95015
1964,97597
1965,100267
1966,103025
1967,105866
1968,108780
1969,111759
1970,114793
1971,117880
1972,121017
1973,124200
1974,127422
1975,130681
1976,133967
1977,137278
1978,140622
1979,144010
1980,147448
1981,150938
1982,154468
1983,158009
1984,161523
1985,164982
1986,168374
1987,171703
1988,174976
1989,178209
1990,181413
1991,184592
1992,187740
1993,190851
1994,193917
1995,196934
1996,199901
1997,202826
1998,205725
1999,208615
2000,211514
2001,214427
2002,217358
2003,220309
2004,223286
2005,226289
2006,229318
2007,232374
2008,235470
2009,238621
2010,241834
2011,245116
2012,248452
2013,251805
2014,255128
2015,258383
2016,261556
2017,264651
2018,267671
2019,270626
2020,273524
2021,276362
2022,279135
2023,281844
2024,284495
2025,287090
2026,289628
2027,292109
2028,294533
2029,296896
2030,299198
2031,301439
2032,303618
2033,305733
2034,307783
2035,309765
2036,311679
2037,313525
2038,315300
2039,317005
2040,318638
2041,320199
2042,321688
2043,323103
2044,324442
2045,325705
2046,326892
2047,328004
2048,329042
2049,330008
2050,330905
2051,331733
2052,332494
2053,333191
2054,333825
2055,334399
2056,334915
2057,335375
2058,335782
2059,336137
2060,336444
2061,336704
2062,336920
2063,337092
2064,337223
2065,337314
2066,337367
2067,337382
2068,337363
2069,337310
2070,337225
2071,337109
2072,336964
2073,336788
2074,336583
2075,336349
2076,336087
2077,335795
2078,335474
2079,335123
2080,334740
2081,334326
2082,333881
2083,333404
2084,332895
2085,332354
2086,331780
2087,331174
2088,330536
2089,329868
2089,329868
2090,329171
2091,328446
2092,327692
2093,326911
2094,326105
2095,325272
2096,324416
2097,323538
2098,322638
2099,321719
2100,320782
